City,Country,Date,Latitude,Longitude,Humidity,Max Temp,Cloudiness,Wind Speed
kahului,KAHULUI,1583030626.0,20.89,-156.47,69.0,75.2,40,13.87
tual,TUAL,1583030780.0,-5.67,132.75,73.0,85.06,100,5.46
thoen,THOEN,1583030781.0,17.61,99.22,25.0,94.26,0,1.5
bud,BUD,1583030781.0,39.45,-86.18,54.0,30.99,5,6.17
eureka,EUREKA,1583030781.0,40.8,-124.16,81.0,48.2,40,16.11
buraydah,BURAYDAH,1583030485.0,26.33,43.98,62.0,53.6,0,8.05
porbandar,PORBANDAR,1583030781.0,21.64,69.61,100.0,68.0,0,3.36
falmouth,FALMOUTH,1583030781.0,50.15,-5.07,86.0,42.8,100,32.21
christchurch,CHRISTCHURCH,1583030623.0,-43.53,172.63,60.0,71.01,67,18.34
anupgarh,ANUPGARH,1583030781.0,29.19,73.21,79.0,61.65,0,8.97
alekseyevka,ALEKSEYEVKA,1583030782.0,50.63,38.69,84.0,30.88,0,5.75
herat,HERAT,1583030782.0,34.5,62.0,93.0,39.2,0,2.24
port augusta,PORT AUGUSTA,1583030782.0,-32.5,137.77,12.0,95.0,86,17.22
lluta,LLUTA,1583030782.0,-16.01,-72.01,93.0,57.2,75,1.03
key largo,KEY LARGO,1583030555.0,25.09,-80.45,54.0,64.0,1,4.7
talnakh,TALNAKH,1583030782.0,69.49,88.4,77.0,6.8,98,20.13
kununurra,KUNUNURRA,1583030782.0,-15.77,128.73,94.0,78.8,75,8.05
pontianak,PONTIANAK,1583030782.0,-0.03,109.33,64.0,88.3,98,3.09
banjar,BANJAR,1583030783.0,-8.19,114.97,84.0,87.8,40,8.05
monrovia,MONROVIA,1583030783.0,6.3,-10.8,91.0,79.03,10,5.84
las vegas,LAS VEGAS,1583030593.0,36.17,-115.14,27.0,64.4,40,5.82
rudnichnyy,RUDNICHNYY,1583030783.0,59.62,52.47,91.0,21.69,99,10.98
yamada,YAMADA,1583030783.0,39.47,141.95,60.0,44.69,74,9.73
lebu,LEBU,1583030490.0,-37.62,-73.65,89.0,52.39,0,2.51
ancud,ANCUD,1583030530.0,-41.87,-73.82,77.0,62.6,0,13.87
qaanaaq,QAANAAQ,1583030784.0,77.48,-69.36,70.0,-24.59,0,5.73
faanui,FAANUI,1583030502.0,-16.48,-151.75,85.0,80.67,100,31.0
luba,LUBA,1583030784.0,3.46,8.55,94.0,82.4,20,5.82
berlevag,BERLEVAG,1583030489.0,70.86,29.09,71.0,29.71,100,15.82
talcahuano,TALCAHUANO,1583030784.0,-36.72,-73.12,93.0,57.2,90,6.93
abu zabad,ABU ZABAD,1583030784.0,12.35,29.25,14.0,66.43,15,14.38
kieta,KIETA,1583030784.0,-6.22,155.63,69.0,85.23,31,6.35
shache,SHACHE,1583030785.0,38.42,77.24,47.0,43.97,99,6.73
iqaluit,IQALUIT,1583030785.0,63.75,-68.51,75.0,-16.01,40,4.7
maple creek,MAPLE CREEK,1583030785.0,49.92,-109.48,89.0,29.03,100,28.59
bac lieu,BAC LIEU,1583030752.0,9.29,105.72,46.0,90.41,15,11.79
huarmey,HUARMEY,1583030785.0,-10.07,-78.15,79.0,72.75,100,3.31
korhogo,KORHOGO,1583030785.0,9.45,-5.63,19.0,72.64,0,4.54
malibu,MALIBU,1583030785.0,34.01,-118.81,72.0,62.6,75,6.93
zaranj,ZARANJ,1583030785.0,30.97,61.88,80.0,41.0,0,5.46
miri,MIRI,1583030786.0,4.41,114.01,83.0,84.2,75,4.7
biak,BIAK,1583030786.0,-0.91,122.88,69.0,87.37,80,5.55
pinega,PINEGA,1583030786.0,64.7,43.39,93.0,16.88,97,8.14
pietermaritzburg,PIETERMARITZBURG,1583030786.0,-29.62,30.39,95.0,66.99,4,2.53
srednekolymsk,SREDNEKOLYMSK,1583030533.0,67.45,153.68,80.0,11.59,0,7.02
erdenet,ERDENET,1583030786.0,49.03,104.08,82.0,14.23,100,4.38
pringsewu,PRINGSEWU,1583030786.0,-5.36,104.97,78.0,81.79,94,4.38
shelburne,SHELBURNE,1583030787.0,44.08,-80.2,67.0,21.2,5,10.29
letterkenny,LETTERKENNY,1583030787.0,54.95,-7.73,91.0,37.99,100,24.81
provideniya,PROVIDENIYA,1583030787.0,64.38,-173.3,75.0,0.45,0,14.2
tasiilaq,TASIILAQ,1583030787.0,65.61,-37.64,72.0,15.8,100,2.24
turan,TURAN,1583030787.0,16.07,108.22,78.0,82.4,20,3.36
tarko-sale,TARKO-SALE,1583030787.0,64.92,77.78,89.0,23.0,100,1.99
san patricio,SAN PATRICIO,1583030787.0,19.22,-104.7,74.0,76.96,0,11.95
shingu,SHINGU,1583030788.0,33.73,135.98,62.0,55.4,75,5.82
khash,KHASH,1583030788.0,28.22,61.22,29.0,52.97,95,3.09
ambon,AMBON,1583030788.0,-3.7,128.18,63.0,91.4,40,8.05
fukue,FUKUE,1583030788.0,32.69,128.84,71.0,53.6,75,5.82
campo do brito,CAMPO DO BRITO,1583030788.0,-10.73,-37.49,69.0,82.4,40,9.17
necochea,NECOCHEA,1583030788.0,-38.55,-58.74,95.0,64.0,0,1.99
niamey,NIAMEY,1583030788.0,13.51,2.11,14.0,78.8,2,3.36
san cristobal,SAN CRISTOBAL,1583030789.0,7.77,-72.22,69.0,80.6,40,2.24
tiznit,TIZNIT,1583030789.0,29.58,-9.5,88.0,51.08,0,1.99
port-gentil,PORT-GENTIL,1583030789.0,-0.72,8.78,79.0,81.95,100,15.1
takoradi,TAKORADI,1583030789.0,4.88,-1.76,95.0,78.21,5,4.59
siderno,SIDERNO,1583030789.0,38.28,16.3,87.0,57.0,20,5.82
lancaster,LANCASTER,1583030638.0,40.25,-76.25,46.0,30.99,90,11.41
cairns,CAIRNS,1583030535.0,-16.92,145.77,55.0,93.0,20,9.17
cidreira,CIDREIRA,1583030790.0,-30.18,-50.21,76.0,73.76,0,13.35
aldan,ALDAN,1583030790.0,58.6,125.39,84.0,2.91,100,2.91
batagay,BATAGAY,1583030790.0,67.63,134.63,71.0,3.42,0,2.21
la paz,LA PAZ,1583030790.0,-16.5,-68.15,81.0,46.4,75,8.05
moerai,MOERAI,1583030791.0,-22.43,-151.33,79.0,81.36,100,11.7
fort william,FORT WILLIAM,1583030791.0,56.82,-5.11,93.0,39.99,100,7.0
maceio,MACEIO,1583030770.0,-9.67,-35.74,88.0,77.0,0,3.36
anshun,ANSHUN,1583030792.0,26.25,105.93,88.0,55.26,100,5.86
katsuura,KATSUURA,1583030579.0,35.13,140.3,47.0,64.99,75,4.7
urbano santos,URBANO SANTOS,1583030792.0,-3.21,-43.4,96.0,74.35,100,2.73
hay river,HAY RIVER,1583030792.0,60.82,-115.8,63.0,-5.8,20,8.05
jinchang,JINCHANG,1583030792.0,38.5,102.17,51.0,27.68,100,8.84
nicolas bravo,NICOLAS BRAVO,1583030793.0,18.45,-88.92,74.0,65.86,31,5.14
ostrovnoy,OSTROVNOY,1583030793.0,68.05,39.51,90.0,26.65,100,19.75
garoua,GAROUA,1583030793.0,9.3,13.4,19.0,75.88,0,1.61
comodoro rivadavia,COMODORO RIVADAVIA,1583030645.0,-45.87,-67.5,68.0,68.0,36,1.12
sofikon,SOFIKON,1583030793.0,37.8,23.05,69.0,48.0,20,3.36
pulaski,PULASKI,1583030793.0,34.77,-92.3,58.0,57.0,1,4.52
morozovsk,MOROZOVSK,1583030794.0,48.35,41.83,76.0,32.4,50,4.45
verkhoyansk,VERKHOYANSK,1583030794.0,67.54,133.38,64.0,-0.02,0,0.63
neuquen,NEUQUEN,1583030794.0,-38.95,-68.06,44.0,77.0,0,3.36
gazli,GAZLI,1583030794.0,40.13,63.45,68.0,49.41,0,8.37
gumdag,GUMDAG,1583030794.0,39.21,54.59,86.0,45.01,35,2.68
linares,LINARES,1583030794.0,-35.85,-71.6,36.0,62.29,0,1.34
vila franca do campo,VILA FRANCA DO CAMPO,1583030794.0,37.72,-25.43,93.0,60.8,40,13.87
mantua,MANTUA,1583030794.0,45.17,10.78,87.0,50.0,75,4.7
singaraja,SINGARAJA,1583030717.0,-8.11,115.09,78.0,82.69,100,8.79
do gonbadan,DO GONBADAN,1583030795.0,30.36,50.8,93.0,48.2,2,3.94
molodizhne,MOLODIZHNE,1583030795.0,48.18,32.66,80.0,30.2,0,4.47
rawson,RAWSON,1583030795.0,-43.3,-65.1,58.0,68.09,0,14.45
altay,ALTAY,1583030762.0,47.87,88.12,50.0,21.96,0,2.95
cruzeiro do sul,CRUZEIRO DO SUL,1583030795.0,-29.51,-51.99,93.0,62.01,0,1.32
tyup,TYUP,1583030796.0,42.73,78.36,53.0,27.88,0,2.24
belle fourche,BELLE FOURCHE,1583030674.0,44.67,-103.85,42.0,46.4,1,17.22
koungou,KOUNGOU,1583030796.0,-12.73,45.2,88.0,78.8,100,3.36
rosario,ROSARIO,1583030683.0,-32.95,-60.64,64.0,80.01,0,6.08
ampanihy,AMPANIHY,1583030796.0,-24.7,44.75,86.0,69.4,86,13.56
bereda,BEREDA,1583030796.0,43.27,-7.54,81.0,53.6,20,19.46
hegang,HEGANG,1583030797.0,47.4,130.37,79.0,21.47,100,3.85
mombetsu,MOMBETSU,1583030797.0,44.35,143.35,92.0,19.4,75,3.36
bathsheba,BATHSHEBA,1583030797.0,13.22,-59.52,69.0,78.8,40,14.99
washougal,WASHOUGAL,1583030797.0,45.58,-122.35,75.0,42.01,40,4.7
le vauclin,LE VAUCLIN,1583030797.0,14.55,-60.84,83.0,77.0,40,1.12
vernon,VERNON,1583030797.0,50.26,-119.27,74.0,37.4,90,9.17
nikolskoye,NIKOLSKOYE,1583030797.0,59.7,30.79,92.0,30.0,75,4.47
beyneu,BEYNEU,1583030799.0,45.32,55.2,82.0,36.99,0,4.9
salalah,SALALAH,1583030530.0,17.02,54.09,43.0,71.6,40,5.82
samarai,SAMARAI,1583030799.0,-10.62,150.67,78.0,83.66,100,5.57
margate,MARGATE,1583030799.0,51.38,1.39,75.0,42.01,34,18.34
vanimo,VANIMO,1583030799.0,-2.67,141.3,85.0,80.91,100,11.95
north bend,NORTH BEND,1583030799.0,43.41,-124.22,75.0,46.4,20,8.05
meulaboh,MEULABOH,1583030799.0,4.14,96.13,78.0,82.71,98,7.63
pillaro,PILLARO,1583030799.0,-1.17,-78.53,87.0,51.8,20,1.12
svetlyy,SVETLYY,1583030800.0,54.67,20.13,86.0,41.0,75,11.18
tanout,TANOUT,1583030800.0,14.97,8.89,12.0,70.88,59,10.38
matara,MATARA,1583030569.0,5.95,80.54,65.0,81.68,91,5.48
mosquera,MOSQUERA,1583030800.0,4.71,-74.23,93.0,53.6,85,2.24
pietarsaari,PIETARSAARI,1583030800.0,63.65,22.68,92.0,24.01,38,5.82
port keats,PORT KEATS,1583030800.0,-14.25,129.55,68.0,88.11,100,7.52
lagoa,LAGOA,1583030800.0,39.05,-27.98,84.0,61.84,100,27.16
dandong,DANDONG,1583030801.0,40.13,124.39,53.0,41.9,7,8.57
sambava,SAMBAVA,1583030801.0,-14.27,50.17,97.0,70.18,43,2.26
mkushi,MKUSHI,1583030801.0,-13.62,29.39,94.0,62.94,100,8.48
kirakira,KIRAKIRA,1583030801.0,-10.45,161.92,70.0,85.19,35,5.32
goderich,GODERICH,1583030709.0,43.75,-81.72,70.0,30.99,100,1.99
celestun,CELESTUN,1583030801.0,20.87,-90.4,65.0,70.88,0,25.5
nagaur,NAGAUR,1583030801.0,27.2,73.73,50.0,69.8,0,10.2
okhotsk,OKHOTSK,1583030801.0,59.38,143.3,74.0,14.31,0,8.81
juneau,JUNEAU,1583030684.0,58.3,-134.42,98.0,35.6,90,4.7
xining,XINING,1583030802.0,36.62,101.77,63.0,26.01,100,7.74
eyl,EYL,1583030802.0,7.98,49.82,78.0,75.63,0,16.35
caucaia,CAUCAIA,1583030802.0,-3.74,-38.65,74.0,82.99,20,3.36
rumphi,RUMPHI,1583030802.0,-11.02,33.86,95.0,60.64,73,1.28
aykhal,AYKHAL,1583030553.0,66.0,111.5,84.0,-2.2,86,4.47
tagusao,TAGUSAO,1583030802.0,9.19,117.81,66.0,83.46,100,11.39
nsunga,NSUNGA,1583030803.0,-1.14,31.39,89.0,62.49,57,2.21
atar,ATAR,1583030803.0,20.52,-13.05,12.0,66.97,0,7.65
progreso,PROGRESO,1583030803.0,21.28,-89.67,49.0,69.8,5,11.41
kajaani,KAJAANI,1583030803.0,64.23,27.73,85.0,15.8,90,3.36
bacungan,BACUNGAN,1583030803.0,9.91,118.7,58.0,87.8,20,17.22
dohar,DOHAR,1583030803.0,23.59,90.15,77.0,68.0,0,2.46
kalmunai,KALMUNAI,1583030803.0,7.42,81.82,77.0,80.69,23,13.94
bengkulu,BENGKULU,1583030803.0,-3.8,102.27,58.0,88.92,100,0.56
kuching,KUCHING,1583030643.0,1.55,110.33,83.0,84.2,40,8.05
panguna,PANGUNA,1583030804.0,-6.32,155.48,88.0,79.05,100,1.9
egvekinot,EGVEKINOT,1583030804.0,66.32,-179.17,83.0,0.28,0,7.47
coari,COARI,1583030804.0,-4.08,-63.14,94.0,74.86,90,1.97
yenagoa,YENAGOA,1583030804.0,4.92,6.26,84.0,82.0,56,4.63
saint anthony,SAINT ANTHONY,1583030804.0,45.02,-93.22,80.0,37.99,1,5.82
carupano,CARUPANO,1583030804.0,10.67,-63.26,96.0,68.52,21,2.19
zambezi,ZAMBEZI,1583030805.0,-13.54,23.1,98.0,64.33,100,2.91
hobyo,HOBYO,1583030805.0,5.35,48.53,85.0,72.73,74,8.16
muli,MULI,1583030805.0,2.92,73.57,75.0,82.45,35,11.43
taunggyi,TAUNGGYI,1583030558.0,20.78,97.03,30.0,79.11,0,2.91
mehamn,MEHAMN,1583030805.0,71.04,27.85,79.0,23.05,100,12.19
sadri,SADRI,1583030805.0,25.18,73.43,33.0,69.22,0,0.58
usinsk,USINSK,1583030805.0,65.99,57.53,91.0,23.02,100,17.87
rio grande,RIO GRANDE,1583030678.0,-32.03,-52.1,80.0,70.74,0,10.74
bridlington,BRIDLINGTON,1583030805.0,54.08,-0.19,75.0,43.0,0,24.16
jiamusi,JIAMUSI,1583030806.0,46.83,130.35,84.0,20.89,96,0.56
san carlos de bariloche,SAN CARLOS DE BARILOCHE,1583030806.0,-41.15,-71.31,31.0,64.4,0,6.93
valentin gomez farias,VALENTIN GOMEZ FARIAS,1583030806.0,28.22,-106.58,30.0,60.15,94,12.46
mildura,MILDURA,1583030610.0,-34.2,142.15,16.0,91.4,99,11.41
dutse,DUTSE,1583030806.0,11.76,9.34,16.0,72.99,88,7.63
broken hill,BROKEN HILL,1583030807.0,-31.95,141.43,13.0,91.4,41,12.75
sretensk,SRETENSK,1583030807.0,52.25,117.71,82.0,18.14,99,1.74
pauini,PAUINI,1583030807.0,-7.71,-66.98,94.0,74.35,100,1.25
aksu,AKSU,1583030807.0,41.12,80.26,35.0,44.06,20,2.62
tazovskiy,TAZOVSKIY,1583030807.0,67.47,78.7,79.0,15.22,100,28.7
the valley,THE VALLEY,1583030807.0,18.22,-63.06,88.0,77.0,75,3.36
jaffna,JAFFNA,1583030808.0,9.67,80.01,75.0,79.56,100,12.97
cocorit,COCORIT,1583030808.0,27.58,-109.97,56.0,68.0,90,3.36
abbeville,ABBEVILLE,1583030587.0,50.1,1.83,86.0,43.0,100,13.87
batemans bay,BATEMANS BAY,1583030808.0,-35.72,150.18,57.0,84.99,10,8.01
ternate,TERNATE,1583030808.0,0.8,127.4,72.0,86.04,48,4.09
marsa matruh,MARSA MATRUH,1583030808.0,31.35,27.25,62.0,57.78,20,13.35
erzin,ERZIN,1583030808.0,36.96,36.2,93.0,50.0,75,3.36
talakan,TALAKAN,1583030808.0,50.32,130.37,87.0,20.68,98,2.46
cananea,CANANEA,1583030809.0,30.95,-110.3,33.0,57.99,100,1.01
anadyr,ANADYR,1583030809.0,64.75,177.48,75.0,-13.0,0,11.18
alnashi,ALNASHI,1583030809.0,56.19,52.48,94.0,20.91,85,9.48
smidovich,SMIDOVICH,1583030809.0,48.6,133.82,88.0,15.64,81,6.93
mount gambier,MOUNT GAMBIER,1583030809.0,-37.83,140.77,53.0,73.4,99,17.22
qui nhon,QUI NHON,1583030810.0,13.77,109.23,69.0,80.98,1,3.11
klaksvik,KLAKSVIK,1583030810.0,62.23,-6.59,91.0,39.2,100,29.97
riacho de santana,RIACHO DE SANTANA,1583030810.0,-13.61,-42.94,80.0,71.49,100,3.27
esperantinopolis,ESPERANTINOPOLIS,1583030810.0,-4.87,-44.71,99.0,72.97,100,2.19
la rioja,LA RIOJA,1583030810.0,42.25,-2.5,58.0,53.6,90,9.17
camacha,CAMACHA,1583030810.0,33.08,-16.33,88.0,64.4,75,9.17
kawalu,KAWALU,1583030810.0,-7.38,108.21,71.0,82.44,89,3.53
puerto ayacucho,PUERTO AYACUCHO,1583030811.0,5.66,-67.62,71.0,79.65,80,2.39
honningsvag,HONNINGSVAG,1583030811.0,70.98,25.97,71.0,27.68,100,15.99
rodrigues alves,RODRIGUES ALVES,1583030811.0,-7.74,-72.65,97.0,73.51,100,1.92
roald,ROALD,1583030589.0,62.58,6.13,69.0,37.4,100,20.8
oktyabrskoye,OKTYABRSKOYE,1583030811.0,43.06,44.74,88.0,31.08,100,2.84
san matias,SAN MATIAS,1583030811.0,-16.37,-58.4,70.0,73.9,1,2.35
casablanca,CASABLANCA,1583030812.0,33.59,-7.62,100.0,55.0,67,2.24
yanam,YANAM,1583030812.0,16.73,82.22,78.0,75.2,75,4.7
ca mau,CA MAU,1583030812.0,9.18,105.15,46.0,90.91,47,9.82
drayton valley,DRAYTON VALLEY,1583030812.0,53.22,-114.99,93.0,21.83,100,13.71
praya,PRAYA,1583030812.0,14.92,-23.51,73.0,71.6,97,13.87
cam ranh,CAM RANH,1583030813.0,11.92,109.16,79.0,84.2,20,6.93
brovary,BROVARY,1583030813.0,50.5,30.77,92.0,33.8,56,8.95
qandala,QANDALA,1583030813.0,11.47,49.87,64.0,71.85,44,10.98
horsham,HORSHAM,1583030768.0,51.06,-0.33,70.0,44.01,20,13.87
vila do maio,VILA DO MAIO,1583030813.0,15.13,-23.22,73.0,71.6,60,13.87
slave lake,SLAVE LAKE,1583030813.0,55.28,-114.77,85.0,17.6,90,12.75
lazaro cardenas,LAZARO CARDENAS,1583030813.0,17.96,-102.2,81.0,74.95,0,3.36
puerto madryn,PUERTO MADRYN,1583030814.0,-42.77,-65.04,49.0,68.83,0,15.88
takestan,TAKESTAN,1583030785.0,36.07,49.7,87.0,42.8,74,2.24
seoul,SEOUL,1583030722.0,37.57,126.98,51.0,46.4,75,4.7
santa barbara,SANTA BARBARA,1583030814.0,34.42,-119.7,76.0,60.8,90,6.93
huntington,HUNTINGTON,1583030814.0,38.42,-82.45,46.0,30.2,1,3.36
tilichiki,TILICHIKI,1583030814.0,60.47,166.1,83.0,2.64,0,9.62
soresina,SORESINA,1583030814.0,45.29,9.86,100.0,46.99,90,4.7
olafsvik,OLAFSVIK,1583030814.0,64.89,-23.71,60.0,34.07,100,14.54
foumban,FOUMBAN,1583030815.0,5.73,10.9,51.0,64.26,0,2.64
llanelli,LLANELLI,1583030815.0,51.68,-4.16,70.0,44.6,71,38.03
matamoros,MATAMOROS,1583030617.0,25.53,-103.25,16.0,78.8,40,5.82
eenhana,EENHANA,1583030815.0,-17.47,16.33,96.0,62.73,65,5.44
semey,SEMEY,1583030815.0,50.41,80.23,85.0,12.2,34,11.18
kefalos,KEFALOS,1583030815.0,36.75,26.96,66.0,50.0,40,11.41
ahipara,AHIPARA,1583030816.0,-35.17,173.17,68.0,84.99,100,9.62
alyangula,ALYANGULA,1583030816.0,-13.85,136.42,59.0,91.4,40,6.93
petropavlovsk-kamchatskiy,PETROPAVLOVSK-KAMCHATSKIY,1583030816.0,53.05,158.65,54.0,28.4,20,4.47
honiara,HONIARA,1583030816.0,-9.43,159.95,70.0,89.6,20,9.17
strezhevoy,STREZHEVOY,1583030817.0,60.73,77.59,80.0,30.2,100,11.18
orange walk,ORANGE WALK,1583030817.0,17.83,-88.83,73.0,77.0,75,13.87
fajardo,FAJARDO,1583030817.0,18.33,-65.65,94.0,77.0,1,3.36
merauke,MERAUKE,1583030817.0,-8.47,140.33,64.0,90.86,16,2.39
payakumbuh,PAYAKUMBUH,1583030818.0,-0.22,100.63,66.0,78.87,98,3.6
gambela,GAMBELA,1583030818.0,8.25,34.58,50.0,74.53,91,3.42
kotelnikovo,KOTELNIKOVO,1583030818.0,47.63,43.15,73.0,34.48,100,5.93
port hardy,PORT HARDY,1583030818.0,50.7,-127.42,80.0,41.0,75,8.05
urumqi,URUMQI,1583030818.0,43.8,87.6,79.0,28.4,75,4.47
santa cruz de tenerife,SANTA CRUZ DE TENERIFE,1583030819.0,28.47,-16.25,54.0,64.99,0,10.29
belmonte,BELMONTE,1583030819.0,-15.86,-38.88,78.0,80.6,40,5.82
kodinsk,KODINSK,1583030819.0,58.69,99.18,92.0,13.95,84,5.61
sur,SUR,1583030819.0,22.57,59.53,48.0,67.75,0,5.21
fayaoue,FAYAOUE,1583030819.0,-20.65,166.53,83.0,83.07,16,15.1
abha,ABHA,1583030820.0,18.22,42.51,76.0,57.2,0,4.7
chicama,CHICAMA,1583030820.0,-7.84,-79.15,78.0,75.2,90,12.75
shar,SHAR,1583030820.0,49.59,81.05,85.0,15.21,2,8.84
tiarei,TIAREI,1583030820.0,-17.53,-149.33,94.0,75.2,75,5.82
jiangyou,JIANGYOU,1583030820.0,31.77,104.72,44.0,53.65,99,3.27
leticia,LETICIA,1583030752.0,-4.22,-69.94,94.0,80.6,40,1.57
kroya,KROYA,1583030820.0,-7.63,109.25,61.0,89.87,95,2.08
tuatapere,TUATAPERE,1583030821.0,-46.13,167.68,44.0,69.69,80,5.41
kem,KEM,1583030821.0,64.96,34.58,84.0,9.09,0,7.02
mokhsogollokh,MOKHSOGOLLOKH,1583030821.0,61.47,128.92,91.0,-0.92,26,3.18
wolfsberg,WOLFSBERG,1583030821.0,46.84,14.84,52.0,44.6,20,4.7
nizhniy chir,NIZHNIY CHIR,1583030821.0,48.36,43.09,75.0,32.97,96,4.94
ceres,CERES,1583030821.0,37.59,-120.96,62.0,55.4,1,31.09
amahai,AMAHAI,1583030821.0,-3.33,128.92,75.0,84.15,100,3.0
kapoeta,KAPOETA,1583030822.0,4.77,33.59,32.0,88.63,100,5.82
ozinki,OZINKI,1583030822.0,51.18,49.68,87.0,30.78,100,4.99
bashmakovo,BASHMAKOVO,1583030822.0,53.21,43.03,93.0,23.14,20,7.49
novyy urengoy,NOVYY URENGOY,1583030787.0,66.08,76.63,92.0,23.07,100,28.88
magdagachi,MAGDAGACHI,1583030822.0,53.45,125.8,89.0,14.45,100,2.13
acarau,ACARAU,1583030822.0,-2.89,-40.12,94.0,75.83,100,2.39
berbera,BERBERA,1583030822.0,10.44,45.01,77.0,75.83,20,5.06
karratha,KARRATHA,1583030823.0,-20.74,116.85,82.0,85.75,43,10.38
nabire,NABIRE,1583030823.0,-3.37,135.48,58.0,89.74,100,6.33
lincoln,LINCOLN,1583030645.0,40.8,-96.67,37.0,57.0,1,13.87
itoman,ITOMAN,1583030823.0,26.12,127.67,78.0,77.0,75,17.22
bogalusa,BOGALUSA,1583030823.0,30.79,-89.85,54.0,60.8,1,6.93
saravan,SARAVAN,1583030823.0,39.72,45.65,87.0,44.6,90,9.17
astoria,ASTORIA,1583030823.0,46.19,-123.83,75.0,45.0,90,3.36
kasongo-lunda,KASONGO-LUNDA,1583030824.0,-6.47,16.82,98.0,66.18,100,0.74
ganzhou,GANZHOU,1583030591.0,28.82,115.43,70.0,58.05,0,6.11
tuy hoa,TUY HOA,1583030824.0,13.08,109.3,85.0,76.05,45,6.64
urengoy,URENGOY,1583030824.0,65.97,78.37,90.0,18.77,100,26.75
rundu,RUNDU,1583030660.0,-17.93,19.77,100.0,68.0,100,1.12
lobito,LOBITO,1583030824.0,-12.35,13.55,79.0,76.89,68,2.59
belyy yar,BELYY YAR,1583030529.0,53.6,91.39,79.0,26.6,40,6.71
bembereke,BEMBEREKE,1583030825.0,10.23,2.66,24.0,72.55,36,1.41
mount isa,MOUNT ISA,1583030825.0,-20.73,139.5,26.0,96.8,69,10.29
keffi,KEFFI,1583030825.0,8.85,7.87,44.0,78.8,76,5.82
odesskoye,ODESSKOYE,1583030825.0,54.21,72.97,84.0,26.6,100,10.78
tsabong,TSABONG,1583030825.0,-26.02,22.4,49.0,73.76,96,15.64
terney,TERNEY,1583030825.0,45.05,136.61,74.0,26.78,49,3.78
glendive,GLENDIVE,1583030626.0,47.11,-104.71,69.0,37.4,90,13.87
taywarah,TAYWARAH,1583030826.0,33.35,64.42,63.0,22.57,0,4.59
jiazi,JIAZI,1583030826.0,22.88,116.07,45.0,82.27,3,5.41
